,bush,state,edu,age
178,1.0,21,2,1
179,0.0,10,2,4
180,0.0,18,1,4
181,0.0,21,4,2
182,0.0,47,4,1
183,0.0,14,2,2
184,0.0,36,2,2
185,0.0,41,2,4
186,1.0,33,2,3
187,1.0,5,4,2
188,1.0,16,3,3
189,1.0,10,2,1
190,1.0,11,2,2
191,1.0,36,2,4
192,0.0,33,4,3
193,1.0,39,2,2
194,1.0,1,2,1
195,1.0,36,1,3
196,1.0,22,2,3
197,1.0,31,2,2
198,1.0,33,3,2
199,0.0,44,2,1
200,1.0,14,2,2
201,1.0,44,3,2
202,1.0,3,3,3
203,0.0,39,3,3
204,0.0,36,4,3
205,0.0,7,2,1
206,1.0,39,3,4
207,1.0,31,2,2
208,1.0,7,2,2
209,1.0,10,2,3
210,0.0,49,2,4
211,0.0,22,3,3
212,1.0,33,2,2
213,1.0,39,2,2
214,1.0,22,3,3
215,0.0,7,4,3
216,0.0,33,4,2
217,0.0,16,3,2
218,,31,2,3
219,1.0,5,3,3
220,1.0,33,4,1
221,1.0,39,4,1
222,1.0,44,4,1
223,0.0,33,4,2
224,1.0,10,2,1
225,1.0,33,2,3
226,1.0,43,4,3
227,1.0,23,2,4
228,,31,1,3
229,,33,2,3
230,0.0,39,3,2
231,0.0,33,1,1
232,0.0,39,3,1
233,1.0,20,4,1
234,0.0,33,4,3
235,0.0,50,4,3
236,0.0,39,2,1
237,0.0,33,2,3
238,0.0,7,2,2
239,1.0,34,2,1
240,1.0,33,4,2
241,0.0,22,2,1
242,1.0,4,2,2
243,1.0,39,2,3
244,1.0,36,2,4
245,1.0,31,4,3
246,,31,3,3
247,,37,2,1
248,1.0,17,2,3
249,0.0,19,3,3
250,0.0,23,4,4
251,1.0,23,3,3
252,0.0,38,4,1
253,1.0,33,1,4
254,1.0,1,4,3
255,0.0,33,3,4
256,0.0,31,3,3
257,0.0,40,2,4
258,0.0,39,2,3
259,1.0,39,4,2
260,0.0,31,4,3
261,0.0,23,2,3
262,1.0,14,3,1
263,1.0,44,2,4
264,0.0,22,2,3
265,0.0,23,3,2
266,1.0,18,3,1
267,0.0,47,1,4
268,0.0,36,2,4
269,0.0,7,2,3
270,0.0,22,2,2
271,0.0,33,4,3
272,0.0,39,3,1
273,0.0,45,2,1
274,1.0,50,2,4
275,0.0,33,3,3
276,1.0,39,4,3
277,0.0,26,3,3
278,1.0,14,3,4
279,0.0,7,4,1
280,,10,2,2
281,,39,2,3
282,1.0,17,2,1
283,1.0,10,4,1
284,0.0,22,2,1
285,0.0,14,2,2
286,1.0,31,4,1
287,1.0,33,1,3
288,0.0,50,1,3
289,,11,4,2
290,1.0,48,4,2
291,,10,4,4
292,1.0,44,2,2
293,1.0,42,3,4
294,0.0,39,2,3
295,1.0,1,2,2
296,0.0,22,4,2
297,0.0,15,2,2
298,,26,1,4
299,1.0,22,2,2
300,0.0,33,4,4
301,0.0,43,2,3
302,0.0,14,3,2
303,1.0,31,4,1
304,,41,4,1
305,1.0,26,3,1
306,0.0,23,3,4
307,0.0,50,4,2
308,0.0,50,3,2
309,0.0,39,1,3
310,1.0,35,3,2
311,1.0,15,3,2
312,1.0,44,4,3
313,1.0,26,4,2
314,1.0,19,1,3
315,0.0,15,2,2
316,1.0,39,4,1
317,0.0,25,2,1
318,1.0,31,2,4
319,0.0,26,4,4
320,1.0,22,4,2
321,1.0,50,3,2
322,0.0,14,3,2
323,0.0,15,2,1
324,1.0,14,4,3
325,,24,2,3
326,1.0,36,2,1
327,1.0,47,1,3
328,1.0,23,4,3
329,1.0,23,2,2
330,1.0,15,3,1
331,,26,1,2
332,,21,2,4
333,1.0,15,4,1
334,1.0,34,3,2
335,1.0,17,4,3
336,1.0,24,2,4
337,1.0,50,2,1
338,1.0,14,2,1
339,0.0,15,4,2
340,1.0,26,2,2
341,1.0,31,4,2
342,1.0,44,3,3
343,,23,3,2
344,0.0,23,2,2
345,0.0,4,2,2
346,1.0,14,4,3
347,1.0,37,2,1
348,0.0,17,3,4
349,0.0,36,2,3
350,1.0,7,4,1
351,0.0,23,4,2
352,1.0,23,3,3
353,1.0,17,2,2
354,1.0,41,2,3
355,1.0,17,4,1
356,0.0,5,1,3
357,0.0,24,2,1
358,0.0,14,4,2
359,0.0,23,3,2
360,1.0,14,4,2
361,1.0,36,3,1
362,0.0,21,2,1
363,1.0,34,3,3
364,0.0,22,4,1
365,,26,3,3
366,0.0,14,3,3
367,0.0,14,2,2
368,0.0,36,4,2
369,1.0,44,4,2
370,1.0,10,4,2
371,1.0,47,1,1
372,1.0,44,3,2
373,1.0,11,2,2
374,1.0,1,2,3
375,1.0,50,1,2
376,1.0,16,3,4
377,1.0,26,4,2
378,1.0,1,3,1
379,1.0,14,2,3
380,1.0,36,4,1
381,,22,4,2
382,1.0,44,2,2
383,0.0,14,2,2
384,,41,4,2
385,0.0,10,2,4
386,1.0,42,1,4
387,1.0,26,1,4
388,0.0,21,1,2
389,1.0,37,2,2
390,,10,2,4
391,1.0,18,2,2
392,,26,4,2
393,1.0,44,4,1
394,0.0,14,3,2
395,1.0,15,4,1
396,0.0,19,4,4
397,0.0,49,4,1
398,1.0,17,2,3
399,1.0,19,2,3
400,1.0,19,3,2
401,1.0,14,3,3
402,1.0,36,4,3
403,1.0,16,4,2
404,1.0,42,1,4
405,1.0,23,3,2
406,1.0,25,1,2
407,1.0,17,1,2
408,0.0,43,1,4
409,0.0,4,2,1
410,0.0,11,3,1
411,1.0,11,4,3
412,1.0,44,4,2
413,1.0,49,4,2
414,0.0,18,2,4
415,1.0,1,3,3
416,1.0,24,2,4
417,1.0,4,4,2
418,1.0,25,3,2
419,1.0,49,2,1
420,1.0,14,2,1
421,1.0,32,2,3
422,1.0,36,3,2
423,1.0,44,2,2
424,1.0,44,4,2
425,0.0,11,3,3
426,0.0,43,1,2
427,1.0,18,3,2
428,,24,2,4
429,,11,1,1
430,,44,3,1
431,1.0,14,2,3
432,1.0,50,2,3
433,1.0,44,4,2
434,1.0,19,4,2
435,1.0,5,2,3
436,1.0,44,4,2
437,0.0,5,4,3
438,1.0,3,3,2
439,0.0,44,3,1
440,1.0,25,4,2
441,1.0,1,3,2
442,0.0,18,2,3
443,0.0,44,2,3
444,,5,3,3
445,0.0,5,2,1
446,0.0,6,4,3
447,0.0,26,2,2
448,0.0,6,4,1
449,0.0,50,3,1
450,1.0,38,4,1
451,0.0,24,2,3
452,0.0,1,4,2
453,1.0,25,2,3
454,0.0,5,2,4
455,0.0,5,3,3
456,0.0,48,1,2
457,,17,2,2
458,1.0,5,3,3
459,1.0,5,4,2
460,0.0,45,4,2
461,1.0,5,4,1
462,0.0,48,4,2
463,1.0,5,3,1
464,1.0,5,3,2
465,1.0,6,3,2
466,1.0,5,2,3
467,0.0,5,4,2
468,,5,4,1
469,,5,2,2
470,1.0,5,3,3
471,1.0,5,3,1
472,0.0,5,4,2
473,0.0,5,2,2
474,0.0,5,1,2
475,1.0,48,2,3
476,1.0,5,4,4
477,1.0,3,4,2
478,1.0,6,2,4
479,0.0,5,4,3
480,1.0,5,1,4
481,1.0,32,1,2
482,0.0,13,3,3
483,1.0,38,2,4
484,1.0,5,4,1
485,1.0,45,4,2
486,1.0,48,3,1
487,0.0,5,4,2
488,1.0,5,4,4
489,0.0,5,1,3
490,0.0,48,3,2
491,0.0,21,4,3
492,0.0,8,3,4
493,1.0,43,3,2
494,1.0,25,3,2
495,,10,2,4
496,0.0,10,3,3
497,0.0,36,2,3
498,0.0,47,2,4
499,0.0,1,4,2
500,,11,4,4
501,1.0,32,3,2
502,0.0,11,2,2
503,1.0,5,3,1
504,0.0,5,1,3
505,0.0,48,3,2
506,1.0,6,2,4
507,0.0,5,3,1
508,1.0,10,2,4
509,1.0,22,1,4
510,1.0,25,3,1
511,1.0,10,2,3
512,1.0,20,4,1
513,0.0,10,3,3
514,0.0,31,3,2
515,1.0,39,2,2
516,1.0,44,4,3
517,1.0,11,3,1
518,0.0,33,4,3
519,0.0,22,3,1
520,0.0,34,3,2
521,1.0,22,4,1
522,1.0,39,2,3
523,1.0,34,2,4
524,0.0,22,2,2
525,1.0,31,2,1
526,0.0,31,3,1
527,0.0,50,2,3
528,0.0,31,4,2
529,1.0,28,1,1
530,1.0,44,4,2
531,0.0,22,2,1
532,,47,2,4
533,0.0,23,1,3
534,0.0,33,4,2
535,1.0,18,1,4
536,0.0,33,3,3
537,0.0,44,2,3
538,0.0,22,3,2
539,1.0,44,4,2
540,0.0,39,2,3
541,,44,1,3
542,0.0,43,2,4
543,1.0,7,2,1
544,0.0,10,4,2
545,0.0,22,4,2
546,1.0,44,1,4
547,1.0,33,4,2
548,0.0,21,3,3
549,0.0,36,4,1
550,1.0,17,4,3
551,1.0,33,3,2
552,0.0,25,3,1
553,0.0,34,1,2
554,0.0,22,1,2
555,1.0,40,3,1
556,1.0,22,2,3
557,1.0,43,3,2
558,0.0,34,2,3
559,1.0,33,3,2
560,0.0,33,1,3
561,0.0,39,4,2
562,0.0,11,3,2
563,,22,4,1
564,,39,3,1
565,1.0,49,3,1
566,0.0,36,2,3
567,,33,3,3
568,1.0,47,2,2
569,1.0,10,2,3
570,0.0,23,2,3
571,0.0,33,2,2
572,0.0,10,2,2
573,1.0,34,2,1
574,1.0,47,2,1
575,0.0,39,4,3
576,0.0,43,3,4
577,0.0,43,1,3
578,,36,3,4
579,0.0,39,2,3
580,1.0,47,4,2
581,1.0,14,2,3
582,1.0,33,2,2
583,1.0,41,1,2
584,1.0,1,1,3
585,1.0,33,4,3
586,0.0,33,4,2
587,1.0,41,3,2
588,1.0,21,3,2
589,1.0,36,2,2
590,0.0,39,4,2
591,0.0,25,2,3
592,1.0,19,4,3
593,1.0,49,4,2
594,1.0,36,2,2
595,,18,4,2
596,1.0,36,2,1
597,1.0,22,2,4
598,1.0,47,3,2
599,1.0,50,3,3
600,1.0,37,3,2
601,1.0,39,3,2
602,1.0,44,3,2
603,1.0,11,2,2
604,1.0,35,2,1
605,1.0,39,4,2
606,0.0,14,2,3
607,0.0,31,2,1
608,1.0,23,2,3
609,1.0,43,4,2
610,0.0,43,4,2
611,1.0,43,2,4
612,,23,3,3
613,,14,1,4
614,0.0,14,1,3
615,1.0,50,4,3
616,1.0,43,3,2
617,0.0,33,3,1
618,0.0,7,4,3
619,0.0,44,3,1
620,,36,3,2
621,,50,3,1
622,1.0,21,2,3
623,1.0,36,2,3
624,1.0,21,4,2
625,1.0,44,3,3
626,1.0,23,2,1
627,0.0,23,2,2
628,1.0,21,2,2
629,1.0,41,1,4
630,0.0,36,4,2
631,0.0,23,3,1
632,1.0,7,4,3
633,0.0,50,2,3
634,1.0,26,4,3
635,1.0,43,2,3
636,1.0,11,2,3
637,1.0,10,4,2
638,0.0,14,4,2
639,1.0,36,4,2
640,0.0,44,1,3
641,0.0,11,2,2
642,1.0,43,2,2
643,0.0,10,2,4
644,1.0,14,4,2
645,1.0,24,4,3
646,1.0,18,1,3
647,1.0,34,2,3
648,1.0,41,2,2
649,1.0,26,2,1
650,1.0,26,2,1
651,,11,2,4
652,,16,1,4
653,0.0,23,1,4
654,1.0,36,3,3
655,0.0,23,2,3
656,0.0,16,3,2
657,0.0,39,1,3
658,1.0,10,4,2
659,0.0,44,3,4
660,1.0,41,3,4
661,0.0,36,2,1
662,1.0,7,2,4
663,1.0,50,4,1
664,0.0,26,3,2
665,0.0,33,3,2
666,0.0,11,1,3
667,0.0,43,2,3
668,0.0,44,3,3
669,1.0,1,4,3
670,1.0,10,4,4
671,0.0,41,4,2
672,0.0,15,1,1
673,0.0,23,2,4
674,0.0,24,3,1
675,0.0,23,1,3
676,1.0,14,3,2
677,1.0,26,2,2
678,1.0,15,2,3
679,0.0,42,4,1
680,0.0,49,2,2
681,0.0,43,4,4
682,0.0,34,1,2
683,0.0,42,2,3
684,0.0,8,2,2
685,0.0,33,4,1
686,1.0,25,4,1
687,,14,4,3
688,1.0,1,2,3
689,1.0,36,3,1
690,1.0,35,3,1
691,1.0,24,2,3
692,1.0,11,4,1
693,1.0,50,2,3
694,1.0,39,4,3
695,1.0,36,3,4
696,1.0,14,4,1
697,0.0,3,2,3
698,1.0,49,3,1
699,0.0,44,4,2
700,0.0,14,2,3
701,0.0,31,3,2
702,0.0,14,2,1
703,,27,2,2
704,0.0,23,4,2
705,0.0,5,4,1
706,,1,1,4
707,1.0,21,1,4
708,0.0,26,3,3
709,0.0,14,3,2
710,0.0,28,4,2
711,0.0,15,1,3
712,0.0,7,3,2
713,0.0,14,3,1
714,0.0,47,3,2
715,0.0,20,2,3
716,1.0,5,3,2
717,1.0,7,2,3
718,1.0,34,1,2
719,1.0,36,4,3
720,1.0,14,3,1
721,0.0,21,2,2
722,0.0,16,2,3
723,1.0,14,2,2
724,1.0,33,3,1
725,1.0,5,3,1
726,0.0,48,2,3
727,0.0,39,1,4
728,0.0,33,2,1
729,1.0,36,2,3
730,0.0,26,2,3
731,,25,2,3
732,1.0,23,4,2
733,0.0,21,4,1
734,0.0,44,2,4
735,,50,3,2
736,,31,3,2
737,0.0,42,3,3
738,0.0,1,2,2
739,0.0,3,1,3
740,0.0,10,2,4
741,0.0,5,1,2
742,1.0,26,3,1
743,1.0,5,2,4
744,0.0,19,3,1
745,,32,1,4
746,,5,2,1
747,1.0,14,2,3
748,1.0,3,3,2
749,1.0,48,4,2
750,1.0,19,2,3
751,,48,1,4
752,,6,4,1
753,0.0,48,2,4
754,1.0,15,3,2
755,1.0,5,4,2
756,1.0,45,3,1
757,1.0,36,2,2
758,0.0,5,2,3
759,0.0,23,2,3
760,1.0,4,2,3
761,1.0,51,4,2
762,0.0,5,3,3
763,1.0,44,3,3
764,1.0,45,4,4
765,1.0,3,2,1
766,1.0,5,2,2
767,1.0,23,2,2
768,1.0,5,1,1
769,1.0,5,3,2
770,1.0,15,2,4
771,1.0,45,2,2
772,0.0,5,3,2
773,0.0,3,4,3
774,0.0,5,4,4
775,1.0,36,4,3
776,0.0,27,3,3
777,0.0,5,4,2
778,0.0,48,2,3
779,1.0,5,4,2
780,1.0,24,2,1
781,0.0,5,1,4
782,0.0,5,1,2
783,1.0,38,1,4
784,1.0,33,4,2
785,0.0,47,4,1
786,1.0,31,4,1
787,1.0,17,2,2
788,0.0,39,2,1
789,0.0,5,2,3
790,1.0,32,1,1
791,1.0,10,2,4
792,0.0,5,4,2
793,1.0,5,4,2
794,1.0,43,4,2
795,1.0,24,2,2
796,1.0,3,4,2
797,1.0,5,2,1
798,,5,1,4
799,1.0,31,3,3
800,1.0,11,3,2
801,1.0,33,2,1
802,1.0,5,2,1
803,1.0,39,4,3
804,0.0,38,2,2
805,0.0,44,2,1
806,1.0,5,2,1
807,1.0,48,1,4
808,0.0,36,4,2
809,1.0,5,4,3
810,1.0,10,4,2
811,0.0,28,2,3
812,0.0,14,4,2
813,0.0,39,2,1
814,,47,2,3
815,0.0,41,4,2
816,0.0,36,3,2
817,0.0,38,2,3
818,1.0,44,4,1
819,1.0,14,4,1
820,1.0,28,2,2
821,1.0,47,2,2
822,0.0,23,4,3
823,1.0,24,3,2
824,1.0,44,3,1
825,1.0,23,3,1
826,1.0,44,4,3
827,1.0,1,4,2
828,1.0,10,4,4
829,1.0,48,4,3
830,0.0,26,2,2
831,1.0,15,2,2
832,0.0,24,2,3
833,1.0,4,2,3
834,0.0,44,2,3
835,1.0,36,2,4
836,1.0,10,3,4
837,1.0,3,4,3
838,0.0,10,2,2
839,1.0,14,2,3
840,0.0,44,2,2
841,1.0,44,4,3
842,1.0,26,2,4
843,1.0,25,1,1
844,0.0,24,4,1
845,1.0,28,4,2
846,1.0,3,3,2
847,1.0,15,3,4
848,1.0,44,2,2
849,1.0,14,4,1
850,1.0,19,2,4
851,1.0,1,4,1
852,0.0,14,2,2
853,,23,2,3
854,,5,2,1
855,,29,4,2
856,0.0,5,3,3
857,0.0,48,3,4
858,0.0,32,1,2
859,0.0,5,4,3
860,,5,4,2
861,,5,4,2
862,1.0,6,4,3
863,1.0,5,2,3
864,1.0,5,2,4
865,0.0,5,2,1
866,0.0,5,4,2
867,1.0,5,3,2
868,1.0,5,3,2
869,0.0,5,2,2
870,1.0,6,1,4
871,1.0,38,3,2
872,0.0,5,3,1
873,1.0,5,2,3
874,0.0,5,3,1
875,1.0,5,4,3
876,1.0,13,3,1
877,1.0,48,1,2
878,1.0,5,2,1
879,1.0,5,4,2
880,1.0,5,4,1
881,1.0,3,4,3
882,1.0,5,3,2
883,1.0,5,2,2
884,1.0,5,3,1
885,1.0,5,4,3
886,1.0,5,2,4
887,0.0,3,2,2
888,0.0,5,1,1
889,0.0,5,2,3
890,0.0,5,3,2
891,0.0,48,4,4
892,1.0,5,2,2
893,1.0,5,2,1
894,1.0,5,3,3
895,1.0,5,2,1
896,1.0,48,2,2
897,1.0,5,3,1
898,1.0,5,2,1
899,1.0,48,4,2
900,1.0,5,2,2
901,1.0,5,3,1
902,1.0,5,2,1
903,1.0,48,3,2
904,0.0,48,3,2
905,1.0,5,3,2
906,0.0,5,4,2
907,1.0,27,2,2
908,,5,4,4
909,1.0,5,2,1
910,1.0,5,2,2
911,1.0,5,4,3
912,1.0,5,3,1
913,1.0,5,2,2
914,,48,3,4
915,0.0,25,1,3
916,0.0,5,2,1
917,,18,2,3
918,0.0,33,3,1
919,0.0,11,2,2
920,1.0,14,4,3
921,0.0,10,3,2
922,0.0,31,2,2
923,1.0,5,3,4
924,0.0,36,2,4
925,1.0,47,1,3
926,0.0,37,4,2
927,0.0,25,1,3
928,1.0,25,2,3
929,1.0,8,4,3
930,0.0,24,3,3
931,,31,2,2
932,0.0,31,3,3
933,0.0,44,2,1
934,0.0,43,2,1
935,0.0,36,2,1
936,0.0,38,1,3
937,0.0,44,2,2
938,0.0,34,3,2
939,0.0,5,1,3
940,0.0,31,1,4
941,0.0,41,2,4
942,0.0,10,1,3
943,0.0,39,4,1
944,0.0,1,2,3
945,0.0,21,3,4
946,0.0,36,4,1
947,0.0,48,1,1
948,0.0,23,1,3
949,0.0,5,1,4
950,0.0,5,1,2
951,0.0,34,2,1
952,0.0,5,2,2
953,0.0,33,1,2
954,0.0,11,1,1
955,0.0,33,4,2
956,0.0,10,4,1
957,0.0,48,1,4
958,0.0,33,4,1
959,0.0,44,3,2
960,0.0,5,4,2
961,0.0,32,3,3
962,0.0,16,3,3
963,1.0,24,3,3
964,1.0,39,2,4
965,,44,2,2
966,0.0,20,4,2
967,,23,2,4
968,0.0,21,4,1
969,0.0,26,4,1
970,1.0,22,4,4
971,1.0,44,4,2
972,,44,1,1
973,0.0,6,3,1
974,,26,2,3
975,1.0,22,2,3
976,1.0,3,2,4
977,0.0,11,4,4
978,,21,3,4
979,0.0,5,4,2
980,0.0,43,1,4
981,1.0,25,4,3
982,1.0,23,4,4
983,1.0,28,3,4
984,1.0,33,3,2
985,1.0,10,2,3
986,0.0,39,4,2
987,1.0,33,4,4
988,0.0,34,2,2
989,0.0,39,2,4
990,1.0,26,2,3
991,1.0,10,2,3
992,0.0,10,3,3
993,1.0,36,2,4
994,0.0,23,2,1
995,1.0,21,3,2
996,1.0,11,3,2
997,1.0,34,3,2
998,0.0,23,1,4
999,,23,3,3
1000,1.0,31,4,2
1001,1.0,36,4,4
1002,1.0,23,3,2
1003,1.0,5,3,1
1004,0.0,14,2,3
1005,1.0,25,1,2
1006,0.0,26,2,2
1007,1.0,26,2,2
1008,0.0,15,1,4
1009,1.0,33,2,3
1010,1.0,14,3,3
1011,,11,4,3
1012,0.0,10,3,2
1013,0.0,33,2,4
1014,0.0,10,2,2
1015,,38,3,4
1016,,11,1,1
1017,,41,1,3
1018,,48,2,2
1019,,34,2,1
1020,,10,2,4
1021,,36,2,4
1022,,10,2,3
1023,,39,1,1
1024,,10,2,1
1025,,50,3,2
1026,,36,2,1
1027,,14,1,3
1028,,24,2,1
1029,,11,1,4
1030,,6,2,1
1031,,39,1,2
1032,,25,1,1
1033,,48,1,4
1034,,48,2,2
1035,,48,1,2
1036,0.0,33,1,4
1037,0.0,33,3,2
1038,0.0,47,4,4
1039,0.0,11,4,2
1040,0.0,34,2,4
1041,0.0,10,2,2
1042,1.0,39,3,1
1043,0.0,31,1,3
1044,0.0,40,1,4
1045,0.0,31,3,3
1046,1.0,22,3,4
1047,,10,3,1
1048,0.0,7,2,3
1049,1.0,43,4,2
1050,1.0,25,1,4
1051,0.0,10,4,2
1052,1.0,39,1,2
1053,1.0,44,3,3
1054,0.0,51,2,3
1055,1.0,36,2,3
1056,0.0,14,3,4
1057,0.0,15,3,2
1058,1.0,15,2,3
1059,,26,2,4
1060,,7,1,3
1061,1.0,50,4,3
1062,1.0,39,1,2
1063,1.0,39,2,1
1064,1.0,31,3,2
1065,,47,3,1
1066,0.0,33,2,4
1067,0.0,49,2,3
1068,0.0,22,1,3
1069,1.0,23,2,3
1070,1.0,14,3,2
1071,,10,3,1
1072,1.0,33,2,4
1073,1.0,22,2,4
1074,,36,1,4
1075,1.0,39,4,3
1076,1.0,14,4,2
1077,1.0,23,4,2
1078,1.0,33,2,2
1079,0.0,21,2,2
1080,1.0,26,3,3
1081,1.0,11,4,2
1082,1.0,15,3,1
1083,0.0,33,4,1
1084,0.0,11,2,1
1085,1.0,33,2,2
1086,1.0,36,4,2
1087,0.0,25,3,2
1088,0.0,24,2,1
1089,0.0,50,2,1
1090,0.0,33,2,2
1091,1.0,34,4,2
1092,0.0,33,2,4
1093,0.0,23,3,1
1094,,7,2,4
1095,,23,2,1
1096,1.0,33,3,1
1097,0.0,31,4,2
1098,1.0,36,3,3
1099,1.0,26,4,2
1100,1.0,33,2,1
1101,1.0,50,3,2
1102,0.0,31,3,4
1103,0.0,10,3,3
1104,1.0,50,2,2
1105,1.0,50,2,1
1106,1.0,31,3,2
1107,0.0,33,1,3
1108,1.0,10,2,4
1109,1.0,44,2,1
1110,0.0,22,2,3
1111,1.0,14,1,3
1112,1.0,11,4,2
1113,1.0,36,2,1
1114,1.0,47,3,2
1115,0.0,37,4,1
1116,1.0,24,4,3
1117,0.0,18,4,3
1118,1.0,39,2,4
1119,0.0,50,2,3
1120,0.0,23,1,1
1121,1.0,36,2,2
1122,1.0,26,2,1
1123,0.0,43,4,3
1124,0.0,39,2,1
1125,0.0,39,2,4
1126,0.0,16,4,1
1127,0.0,36,1,2
1128,1.0,33,3,2
1129,0.0,23,3,1
1130,0.0,30,1,3
1131,0.0,15,3,1
1132,0.0,24,4,3
1133,0.0,15,2,2
1134,0.0,50,3,3
1135,1.0,10,2,2
1136,1.0,39,2,3
1137,1.0,33,4,2
1138,1.0,36,4,2
1139,0.0,36,4,2
1140,0.0,18,2,2
1141,0.0,44,2,3
1142,0.0,4,2,2
1143,1.0,28,2,2
1144,1.0,41,1,1
1145,1.0,39,4,2
1146,1.0,10,1,3
1147,1.0,25,3,2
1148,1.0,10,3,4
1149,1.0,10,3,2
1150,1.0,22,3,1
1151,0.0,10,3,1
1152,1.0,14,1,4
1153,1.0,40,2,3
1154,1.0,21,2,1
1155,0.0,34,4,3
1156,0.0,33,3,3
1157,1.0,14,2,3
1158,1.0,8,4,2
1159,,36,2,3
1160,,7,2,2
1161,1.0,19,4,4
1162,1.0,20,1,4
1163,1.0,35,2,3
1164,1.0,4,1,3
1165,1.0,10,3,4
1166,1.0,21,4,2
1167,0.0,18,4,1
1168,0.0,14,4,2
1169,1.0,47,4,3
1170,0.0,36,2,3
1171,1.0,22,2,2
1172,1.0,31,2,2
1173,,23,2,1
1174,0.0,14,4,2
1175,0.0,50,3,2
1176,1.0,31,4,3
